id,title,governor,description,created,active,govObject_id,lang_id
1,Siyal Islands,Ahmed Abdullah Mohammed Abdullah,"The Siyal Islands are a group of islands off the coast of northeastern Africa, located in the Red Sea. The islands are located in the Halaib Triangle, which is claimed by both Sudan and Egypt, as part of an ongoing border dispute. Since the 1990s, the islands have been occupied by Egypt, and so the islands are de facto administered by Egypt. They remain, however, to be claimed by Sudan.
The islands are part of the Elba Protected Area of Egypt, and are home to the white-eyed gull, with an estimated seventy individuals at the maximum, as well as several ospreys. The islands are surrounded by rocks and coral, and have a sandy surface with scant marine vegetation. The local fishermen, descendants of the Huteimi peoples identified by J. R. Wellsted, harvest turtle and bird eggs from the surrounding area",2023-02-22 17:00:04+02,TRUE,2,1
2,جزر سيال,أحمد عبدلله محمد عبدلله,"جزر سيال هي مجموعة من الجزر الواقعة قبالة سواحل شمال شرق إفريقيا ، وتقع في البحر الأحمر. تقع الجزر في مثلث حلايب ، الذي تطالب به كل من السودان ومصر ، كجزء من نزاع حدودي مستمر. منذ تسعينيات القرن الماضي ، احتلت مصر الجزر ، وبالتالي فإن الجزر تُدار فعليًا من قبل مصر. ومع ذلك ، لا يزال يتعين على السودان المطالبة بها.
الجزر هي جزء من محمية إلبا في مصر ، وهي موطن لنورس أبيض العينين ، مع ما يقدر بسبعين فردًا كحد أقصى ، بالإضافة إلى العديد من ospreys. الجزر محاطة بالصخور والشعاب المرجانية ، ولها سطح رملي مع القليل من النباتات البحرية. الصيادون المحليون ، المنحدرون من شعوب الحوتيمي التي حددها جي آر ويلستيد ، يحصدون بيض السلاحف والطيور من المنطقة المحيطة",2023-02-22 17:05:49+02,TRUE,2,2
3,Gharbia,Tarek Rahmi,"Gharbia Governorate is one of the governorates of Egypt. It is located in the north of the country, south of Kafr El Sheikh Governorate, and north of Monufia Governorate. Its capital is Tanta, which is 90 km north of Cairo, and 120 km south east of Alexandria. The largest city in Gharbia is El Mahalla El Kubra.",2023-02-22 19:23:01+02,TRUE,3,1
4,الغربية,طارق رحمي,محافظة الغربية هي إحدى محافظات مصر. تقع في شمال البلاد وجنوب محافظة كفر الشيخ وشمال محافظة المنوفية. عاصمتها طنطا ، 90 كم شمال القاهرة ، و 120 كم جنوب شرق الإسكندرية. أكبر مدينة في الغربية هي المحلة الكبرى.,2023-02-22 19:33:39+02,TRUE,3,2
5,الإسماعلية,حمدي حامد محمد عثمان,"محافظة الإسماعيلية هي إحدى محافظات منطقة القناة في مصر. تقع في الجزء الشمالي الشرقي من البلاد ، وعاصمتها مدينة الإسماعيلية. سميت على اسم إسماعيل باشا ، الذي كان نائب الملك العثماني لمصر ، أشرف على البلاد أثناء بناء قناة السويس.",2023-02-22 19:37:09+02,TRUE,4,2
6,Ismailia,Hamdi Hamed Mohamed Osman,"Ismailia Governorate is one of the Canal Zone governorates of Egypt. Located in the northeastern part of the country, its capital is the city of Ismailia. It was named after Ismail Pasha, who as Ottoman Viceroy of Egypt, oversaw the country during the building of the Suez Canal.",2023-02-22 19:39:07+02,TRUE,4,1
7,Menofia,Ibrahim abo lamon,"Monufia Governorate is one of the governorates of Egypt. It is located in the northern part of the country in the Nile Delta, to the south of Gharbia Governorate and to the north of Cairo. The governorate is named after Menouf, an ancient city which was the capital of the governorate until 1826.",2023-02-22 19:52:14+02,TRUE,5,1
8,المنوفية,إبراهيم أبو لمون,"محافظة المنوفية هي إحدى محافظات مصر. تقع في الجزء الشمالي من البلاد في دلتا النيل وجنوب محافظة الغربية وشمال القاهرة. سميت المحافظة على اسم مدينة منوف القديمة التي كانت عاصمة المحافظة حتى عام 1826.",2023-02-22 19:55:51+02,TRUE,5,2
9,Cairo,Khaled Abdel-Aal Abdel-Hafez,"Cairo Governorate  is one of the 27 governorates of Egypt. It is formed of the city of Cairo, both the national capital of Egypt and the governorate's, in addition to five satellite cities: the New Administrative Capital - set to become the seat of national government, New Cairo, Shourok, Badr, Capital Gardens, and 15th of May. These cities form almost half of the Greater Cairo metropolitan area by population.
Parts of the governorate - the Helwan district and the satellite cities, were spun off in April 2008 to form the Helwan Governorate, only to be reincorporated into the Cairo Governorate in April 2011.",2023-02-22 19:58:05+02,TRUE,6,1
10,القاهرة,خالد عبدالعال عبدالحافظ,"محافظة القاهرة هي إحدى محافظات مصر الـ 27. وتتكون من مدينة القاهرة ، كل من العاصمة القومية لمصر والمحافظة ، بالإضافة إلى خمس مدن تابعة: العاصمة الإدارية الجديدة - المقرر أن تصبح مقر الحكومة القومية ، القاهرة الجديدة ، الشروق ، بدر ، كابيتال جاردنز ، و 15 مايو. تشكل هذه المدن ما يقرب من نصف منطقة القاهرة الكبرى من حيث عدد السكان.
تم إنشاء أجزاء من المحافظة - منطقة حلوان والمدن التابعة ، في أبريل 2008 لتشكيل محافظة حلوان ، ليتم دمجها في محافظة القاهرة في أبريل 2011.",2023-02-22 20:01:48+02,TRUE,6,2
11,Qalyubia,Alaa Abdul-Halim Mohammed Marzouk,"Qalyubia Governorate is one of the governorates of Egypt. Located in Lower Egypt. It is situated north of Cairo in the Nile Delta region. Its capital is Banha.
The name of Qalubiyya governorate is derived from Qalyub city in it. Qalyub is derived from Calliope. Calliope is an ancient Greek goddess,the Muse of epic poetry.
Banha and several other settlements blend into the neighboring Cairo Governorate; as a result, parts of Qalyubia (particularly Shubra El Kheima) are generally considered to form part of the Greater Cairo metropolitan area (along with Cairo governorate, Giza city and 6 October city).",2023-02-22 20:10:19+02,TRUE,7,1
12,القليوبية,"علاء عبدالحليم محمد مرزوق","محافظة القليوبية هي إحدى محافظات مصر. تقع في الوجه البحري. تقع شمال القاهرة في منطقة دلتا النيل. عاصمتها بنها.
اسم محافظة القليوبية مشتق من مدينة قليوب فيها. قليوب مشتق من كاليوب. كاليوب هي إلهة يونانية قديمة ، متحف الشعر الملحمي.
تمتزج بنها والعديد من المستوطنات الأخرى مع محافظة القاهرة المجاورة ؛ نتيجة لذلك ، تعتبر أجزاء من القليوبية (خاصة شبرا الخيمة) بشكل عام جزءًا من منطقة القاهرة الكبرى (جنبًا إلى جنب مع محافظة القاهرة ومدينة الجيزة ومدينة 6 أكتوبر).",2023-02-22 20:15:28+02,TRUE,7,2
13,Sharqia,Mamdouh Mustafa El-Sayed Ahmed Gharab,"Sharqia Governorate is the 3rd most populous of the governorates of Egypt. Located in the northern part of the country, its capital is the city of Zagazig.
Bilbeis is the former capital of Sharqia. A section of the governorate once was part of the Qalyubia Governorate. There is a strong agriculture industry, poultry and fish farming in Sharqia.
The rate of poverty is more than 60% in this governorate but recently some social safety networks have been provided in the form of financial assistance and job opportunities. The funding has been coordinated by the country's Ministry of Finance and with assistance from international organizations.",2023-02-22 20:21:39+02,TRUE,8,1
14,الشرقية,ممدوح مصطفى السيد أحمد غرب,"محافظة الشرقية هي ثالث أكبر محافظات مصر من حيث عدد السكان. تقع في الجزء الشمالي من البلاد ، وعاصمتها مدينة الزقازيق.
بلبيس هي العاصمة السابقة للشرقية. كان قسم من المحافظة في السابق جزءًا من محافظة القليوبية. هناك صناعة زراعية قوية وتربية دواجن وأسماك في الشرقية.
وتبلغ نسبة الفقر في هذه المحافظة أكثر من 60% ، إلا أنه تم مؤخراً توفير بعض شبكات الأمان الاجتماعي على شكل مساعدات مالية وفرص عمل. تم تنسيق التمويل من قبل وزارة المالية في البلاد وبمساعدة من المنظمات الدولية.",2023-02-22 20:23:43+02,TRUE,8,2
15,Suez,Abdul-Majid Ahmed Abdul-Majeed Saqr,"Suez Governorate is one of the governorates of Egypt. It is located in the north-eastern part of the country and is coterminous with the city of Suez. It is situated north of the Gulf of Suez.
The governorate is divided into the following municipal divisions for administrative purposes, with a total estimated population as of July 2017 of 730,759.
According to population estimates, in 2015 all 622,859 residents of the governorate lived in urban areas. With an urbanization rate of 100% the Suez Governorate is one of the most urbanized in the country, along with Cairo and Port Said.",2023-02-22 20:30:35+02,TRUE,9,1
16,السويس,عبد المجيد أحمد عبد المجيد صقر,"محافظة السويس هي إحدى محافظات مصر. تقع في الجزء الشمالي الشرقي من البلاد وهي متطابقة مع مدينة السويس. تقع شمال خليج السويس.
تنقسم المحافظة إلى التقسيمات البلدية التالية للأغراض الإدارية ، ويبلغ عدد سكانها المقدر اعتبارًا من يوليو 2017 بحوالي 730,759 نسمة.
وفقًا للتقديرات السكانية ، كان جميع سكان المحافظة البالغ عددهم 622,859 نسمة في عام 2015 يعيشون في مناطق حضرية. تعد محافظة السويس ، التي يبلغ معدل التحضر فيها 100% ، واحدة من أكثر محافظات مصر تحضرًا ، إلى جانب القاهرة وبورسعيد.",2023-02-22 20:32:43+02,TRUE,9,2
17,Dakahlia,Ayman Mokhtar,"Dakahlia Governorate  is an Egyptian governorate lying northeast of Cairo. Its area is approximately 3,500 km2. Although the capital of the governorate is Mansoura, it got its name from the ancient town of Daqahlah which is located in the modern Damietta Governorate.
According to the Egypt's Ministry of Antiquities, in February, 2020, Egyptian archaeologists have uncovered 83 tombs dating back to 4,000 B.C known as Naqada III period. Various small pottery pots in different shapes and some sea shells, makeup tools, eyeliner pots, and jewels were also revealed in the burial.

In April 2021, Egyptian archeologists announced the discovery of 110 burial tombs at the Koum el-Khulgan archeological site. 68 oval-shaped tombs of them dated back to the Predynastic Period and 37 rectangular-shaped tombs were from Second Intermediate Period. Rest of them dated back to the Naqada III period. The tombs also contained the remains of adults and a baby (buried in a jar), a group of ovens, stoves, remnants of mud-brick foundations, funerary equipment, cylindrical, pear-shaped vessels and a bowl with geometric designs.",2023-02-24 17:01:24+02,TRUE,10,1
18,الدقهلية,أيمن مختار,"محافظة الدقهلية هي محافظة مصرية تقع شمال شرق القاهرة. تبلغ مساحتها حوالي 3500 كيلومتر مربع. على الرغم من أن عاصمة المحافظة هي المنصورة ، إلا أنها حصلت على اسمها من مدينة دقهلة القديمة التي تقع في محافظة دمياط الحديثة.
وفقًا لوزارة الآثار المصرية ، في فبراير 2020 ، اكتشف علماء الآثار المصريون 83 مقبرة يعود تاريخها إلى 4000 قبل الميلاد المعروفة باسم فترة نقادة 3. كما تم الكشف عن أواني فخارية صغيرة مختلفة بأشكال مختلفة وبعض أصداف البحر وأدوات المكياج وأواني تحديد العيون والمجوهرات في الدفن.

في أبريل 2021 ، أعلن علماء الآثار المصريون عن اكتشاف 110 مقبرة في موقع كوم الخلجان الأثري. 68 مقبرة بيضاوية الشكل تعود إلى فترة ما قبل الأسرات و 37 مقبرة مستطيلة الشكل تعود إلى الفترة الانتقالية الثانية. يعود تاريخ البقية إلى فترة نقادة 3. كما احتوت المقابر على بقايا بالغين وطفل (مدفون في جرة) ، ومجموعة من الأفران ، والمواقد ، وبقايا أساسات من الطوب اللبن ، ومعدات جنائزية ، وأواني أسطوانية على شكل كمثرى ، ووعاء بتصميم هندسي.",2023-02-24 17:03:33+02,TRUE,10,2
19,Port Said,Adel Mohamed Ibrahim Yousef Al Ghadhban,"Port Said Governorate is one of the Canal Zone governorates of Egypt. It is located in the northeastern part of the country, on the Mediterranean Sea at the northern gate of the Suez Canal, making it the second most important harbor in Egypt. Its capital is the city of Port Said, and it is the home of the Suez Canal Authority historical administrative building and the Lighthouse of Port Said.

Port Said Governorate is wholly urban, with 98.2% of the area populated.Most of the districts of the Governorate lie on the African side of the Suez Canal, although Port Fuad lies on the Asian side.
n 2015 a huge natural gas reserve was discovered off the coast of Port Said and was described as ""the largest ever found in the Mediterranean Sea"". Egypt now has one of the largest areas of natural gas and Italian company, ENI has been contracted to work on the natural gas liquefaction for Egypt.It was welcome news as Egypt has long suffered an energy crisis.

The New Suez Canal project launched in 2015 included dredging of the East Port Said Canal",2023-02-24 17:07:56+02,TRUE,11,1
20,بور سعيد,عادل محمد إبراهيم يوسف أل غضبان,"محافظة بورسعيد هي إحدى محافظات منطقة القناة في مصر. تقع في الجزء الشمالي الشرقي من البلاد ، على البحر الأبيض المتوسط عند البوابة الشمالية لقناة السويس ، مما يجعلها ثاني أهم ميناء في مصر. عاصمتها مدينة بورسعيد ، وهي موطن المبنى الإداري التاريخي لهيئة قناة السويس ومنارة بورسعيد .محافظة بورسعيد حضرية بالكامل ، حيث يسكنها 98.2% من مساحتها ، وتقع معظم مناطق المحافظة على الجانب الأفريقي من قناة السويس ، على الرغم من أن بور فؤاد تقع على الجانب الأسيوى .في عام 2015 ، تم اكتشاف احتياطي ضخم من الغاز الطبيعي قبالة سواحل بورسعيد ووصف بأنه (أكبر احتياطي تم العثور عليه في البحر الأبيض المتوسط). تمتلك مصر الآن واحدة من أكبر مناطق الغاز الطبيعي ، وقد تم التعاقد مع شركة إيني الإيطالية للعمل على تسييل الغاز الطبيعي لمصر ، وكانت أنباء سارة حيث عانت مصر منذ فترة طويلة من أزمة طاقة.تضمن مشروع قناة السويس الجديدة الذي تم إطلاقه في عام 2015 تجريف قناة شرق بورسعيد",2023-02-24 17:11:01+02,TRUE,11,2
21,Damietta,Manal Awad Mikhael,"Damietta Governorate is one of the governorates of Egypt. It is located in the northeastern part of the country, and has a population of over 1 million. Its capital is the city of Damietta.

Damietta (city) is famous for its guava farms, as well as the palm trees that cover the coast from Ras El Bar in the east to Gamasa in the west. The governorate exports millions of palm trees to many countries every year, including Greece and China. Damietta also produces wheat, maize, cotton, rice, potatoes, lemon, grapes and tomatoes. It is also famous for its sweet industry, sardine packing, and Domiati cheese. Ras El Bar, one of the oldest summer resorts in Egypt, is located at the point where The Nile meets the Mediterranean Sea.

In August 2018, Manal Awad Mikhail was the first Christian Coptic woman to be appointed as a governor in Egypt.
An important feature of this governorate is the Damietta Port which has been able to accommodate the movement of ships when bad weather forbids nearby ports to do so.",2023-02-24 17:13:14+02,TRUE,12,1
22,دمياط,منال عوض مخائيل,"محافظة دمياط هي إحدى محافظات مصر. تقع في الجزء الشمالي الشرقي من البلاد ، ويبلغ عدد سكانها أكثر من مليون نسمة. عاصمتها مدينة دمياط.

تشتهر مدينة دمياط بمزارع الجوافة وكذلك أشجار النخيل التي تغطي الساحل من رأس البر شرقاً إلى جمصة غرباً. تصدر المحافظة ملايين أشجار النخيل إلى العديد من البلدان كل عام ، بما في ذلك اليونان والصين. كما تنتج دمياط القمح والذرة والقطن والأرز والبطاطس والليمون والعنب والطماطم. كما أنها تشتهر بصناعة الحلويات وتعبئة السردين وجبن دومياتي. يقع رأس البر ، أحد أقدم المنتجعات الصيفية في مصر ، عند نقطة التقاء النيل بالبحر الأبيض المتوسط.

في أغسطس 2018 ، كانت منال عوض ميخائيل أول امرأة قبطية مسيحية يتم تعيينها حاكمة في مصر.
من السمات المهمة لهذه المحافظة ميناء دمياط الذي كان قادرًا على استيعاب حركة السفن عندما يحظر سوء الأحوال الجوية على الموانئ المجاورة القيام بذلك.",2023-02-24 17:17:52+02,TRUE,12,2
23,Marsa Matrouh,Magdy Mohamed Ali El-Gharably,"Matrouh Governorate is one of the governorates of Egypt. Located in the north-western part of the country, it borders Libya. Its capital is Mersa Matruh.The interior of the Matrouh Governorate is part of Egypt's Western Desert, including the Siwa Oasis, in antiquity known for its shrine to Amun. In the center of the Governorate is the Qattara Depression, descending to 133 metres below sea level.Marsa Matrouh is the ancient Koine Greek: Paraitonion, Latin Paraetonium. It was the westernmost city of the Ptolemaic Kingdom in the Hellenistic period. The city of Apis, some 18 km to the west of Paraetonium, marked the boundary to Libycus nome, and the Halfaya Pass (at Sallum) marked the boundary to Marmarica proper.Matrouh Governorate contains many historical sites related to World War II. The latter include el Alamein, which comprises cemeteries of fallen soldiers from Axis and Allied forces. An estimated 16 million mines, planted by the Europeans during the world wars and called (devil's gardens), still hinder development of most of the governorate, and are constantly being removed.",2023-02-24 17:31:40+02,TRUE,13,1
24,مرسى مطروح,مجدي محمد علي الغرابلي,"محافظة مطروح هي إحدى محافظات مصر. تقع في الجزء الشمالي الغربي من البلاد على الحدود مع ليبيا. عاصمتها مرسى مطروح ، وداخل محافظة مطروح جزء من صحراء مصر الغربية ، بما في ذلك واحة سيوة ، في العصور القديمة المعروفة بضريح آمون. يقع منخفض القطارة في وسط المحافظة ، وينخفض إلى 133 مترًا تحت مستوى سطح البحر. مرسى مطروح مشتقة من كلمة في اللغة اليونانية (بارايتونيوم) تعنى التسامح. كانت تقع في أقصى غرب المملكة البطلمية في العصر الهلنستي. مدينة أبيس ، على بعد حوالي 18 كم إلى الغرب من بارايتونيوم ، حددت الحدود إلى اسم ليبيكوس ، وممر حلفايا (في السلوم) يمثل حدود مرماريكا ، محافظة مطروح تحتوي على العديد من المواقع التاريخية المتعلقة بالحرب العالمية الثانية. وتشمل الأخيرة العلمين ، والتي تضم مقابر لجنود سقطوا من المحور وقوات الحلفاء. يقدر عدد الألغام التي زرعها الأوروبيون خلال الحروب العالمية بـ16 مليون لغم وأطلقوا عليها اسم (حدائق الشيطان) ، ولا تزال تعيق تنمية معظم المحافظة ، ويتم إزالتها باستمرار.",2023-02-24 17:36:18+02,TRUE,13,2
25,Beheira,Hesham Amna,"Beheira Governorate is a coastal governorate in Egypt. Located in the northern part of the country in the Nile Delta, its capital is Damanhur.
Beheira Governorate enjoys an important strategical place, west of the Rosetta branch of the Nile. It comprises four important highways, namely the Cairo-Alexandria desert road, the Cairo agricultural road, the international road, and the circular road. Beheira Governorate is also home to a number of the most important Coptic monasteries in Wadi El Natrun (Scetes).

Beheira consists of 13 centers and 14 cities, and contains important industries such as cotton, chemicals, carpets, electricity, and fishing.

The governorate has a noteworthy number of archaeological sites, including at Abu El Matamir, Abu Hummus, Damanhour, Rosetta (Rashid), and Kafr El Dawwar.Coins, lamps, animal bones, and pottery from Roman and later Eastern Roman (Byzantine) eras are some of the archaeological finds discovered at Kom El Giza, and Kom El Hamam in Beheira.

In 2017, Egyptian President Abdel Fattah al-Sissi appointed the first female governor in the country's history, Nadia Ahmed Abdou, for Beheira Governorate.

The rate of poverty in the governate is more than 60%, however, some social safety networks have been provided recently in the form of financial assistance, and job opportunities. The funding has been coordinated by Egypt's Ministry of Finance and with assistance from international organisations.",2023-02-24 17:37:16+02,TRUE,14,1
26,البحيرة,هشام أمنا,"محافظة البحيرة محافظة ساحلية في مصر. تقع في الجزء الشمالي من البلاد في دلتا النيل وعاصمتها دمنهور.
تتمتع محافظة البحيرة بموقع استراتيجي مهم غرب فرع رشيد من النيل. وتتكون من أربعة طرق سريعة مهمة ، وهي طريق القاهرة - الإسكندرية الصحراوي ، وطريق القاهرة الزراعي ، والطريق الدولي ، والطريق الدائري. محافظة البحيرة هي أيضًا موطن لعدد من أهم الأديرة القبطية في وادي النطرون (Scetes).

تتكون البحيرة من 13 مركزًا و 14 مدينة ، وتحتوي على صناعات مهمة مثل القطن والكيماويات والسجاد والكهرباء وصيد الأسماك.

تضم المحافظة عددًا ملحوظًا من المواقع الأثرية ، بما في ذلك أبو المطامير وأبو حمص ودمنهور ورشيد (رشيد) وكفر الدوار ، والعملات المعدنية والمصابيح وعظام الحيوانات والفخار من العصر الروماني وبعده الشرقي الروماني (البيزنطي). بعض المكتشفات الأثرية المكتشفة في كوم الجيزة وكوم الحمام بالبحيرة.

في عام 2017 ، عين الرئيس المصري عبد الفتاح السيسي أول امرأة في تاريخ البلاد ، نادية أحمد عبده ، لمحافظة البحيرة.",2023-02-24 17:39:53+02,TRUE,14,2
27,Fayoum,Essam Saad Ibrahim Ahmed,"Faiyum Governorate is one of the governorates of Egypt in the middle of the country. Its capital is the city of Faiyum, located about 81 mi (130 km) south west of Cairo. It has a population of 3,848,708 (2020).
The name Faiyum comes from Coptic peiom (whence the proper name payoum), meaning the Sea or the Lake, which in turn comes from late Egyptian pA y-m of the same meaning, a reference to the nearby Lake Moeris.",2023-02-24 17:41:46+02,TRUE,15,1
28,الفيوم,عصام سعد إبراهيم أحمد,"محافظة الفيوم هي إحدى محافظات مصر الواقعة في وسط البلاد. عاصمتها مدينة الفيوم ، وتقع على بعد حوالي 81 ميل (130 كم) جنوب غرب القاهرة. يبلغ عدد سكانها 3848708 نسمة (2020).
يأتي اسم Faiyum من Coptic peiom (ومن هنا كان الاسم الصحيح payoum) ، وهذا يعني البحر أو البحيرة ، والذي يأتي بدوره من اللغة المصرية المتأخرة pA y-m بنفس المعنى ، في إشارة إلى بحيرة Moeris القريبة.",2023-02-24 18:24:10+02,TRUE,15,2
