id,title,governor,description,created,active,govObject_id,lang_id
29,Alexandria,Muhammad Al-Sharif,"Alexandria Governorate is one of the governorates of Egypt. The city of Alexandria was historically the capital of Egypt until the foundation of Fustat, which was later absorbed into Cairo. Today the Alexandria governorate is considered second in importance after the Cairo Governorate. It is located in the northern part of the country, directly on the Mediterranean Sea, making it one of the most important harbours in Egypt.

Along with Cairo, Port Said and Suez, Alexandria is one of four governorates in the country that are also municipalities.The governorate capital is the city of Alexandria, the second largest city in Egypt. Alexandria governorate lies along the Mediterranean coast and stretch for about 70 km northwest of the Nile Delta. The governorate is bounded by the Mediterranean Sea in the north, El Behera governorate in the south and the east and Matrouh governorate in the west. The total area size of Alexandria governorate is almost 2818 km2. It has the most important harbour in Egypt and it is the second largest urban governorate in the country with population more than four and half million (4,799,740 in March 2015) and population density of 1700 square kilometres according to the Central Agency for Public Mobilization and Statistics (CAPMAS). Alexandria has a unique geographical location and a mild climate. It is also considered an industrial governorate where 40% of Egyptian industries are concentrated, especially chemicals, food, spinning and weaving as well as petrol industries and fertilizers.",2023-02-24 18:25:26+02,TRUE,16,1
30,الأسكندرية,محمد الشريف,"محافظة الإسكندرية هي إحدى محافظات مصر. كانت مدينة الإسكندرية تاريخياً عاصمة مصر حتى تأسيس الفسطاط ، والتي تم استيعابها فيما بعد في القاهرة. تعتبر محافظة الإسكندرية اليوم في المرتبة الثانية من حيث الأهمية بعد محافظة القاهرة. تقع في الجزء الشمالي من البلاد ، مباشرة على البحر الأبيض المتوسط ، مما يجعلها واحدة من أهم الموانئ في مصر.إلى جانب القاهرة وبورسعيد والسويس ، تعد الإسكندرية واحدة من أربع محافظات في البلاد وهي أيضًا بلديات ، وعاصمة المحافظة هي مدينة الإسكندرية ، ثاني أكبر مدينة في مصر. تقع محافظة الإسكندرية على طول ساحل البحر الأبيض المتوسط وتمتد لنحو 70 كم شمال غرب دلتا النيل. يحدها من الشمال البحر الأبيض المتوسط ومن الجنوب محافظة البحيرة ومن الشرق محافظة مطروح من الغرب. تبلغ المساحة الإجمالية لمحافظة الإسكندرية حوالي 2818 كيلومتر مربع. بها أهم ميناء في مصر وهي ثاني أكبر محافظة حضرية في البلاد حيث يبلغ عدد سكانها أكثر من أربعة ملايين ونصف نسمة (4,799,740 في مارس 2015) وتبلغ الكثافة السكانية 1700 كيلومتر مربع وفقًا للجهاز المركزي للتعبئة العامة والإحصاء. (الجهاز المركزي للتعبئة العامة والإحصاء). تتمتع الإسكندرية بموقع جغرافي فريد ومناخ معتدل. كما تعتبر محافظة صناعية حيث يتركز 40% من الصناعات المصرية خاصة الكيماويات والمواد الغذائية والغزل والنسيج وكذلك الصناعات البترولية والأسمدة.",2023-02-24 18:28:07+02,TRUE,16,2
31,Giza,Ahmed Rashed Mustafa Atifi,"Giza Governorate is one of the governorates of Egypt. It is in the center of the country, situated on the west bank of the Nile River opposite Cairo. Its capital is the city of Giza. It includes a stretch of the left bank of the Nile Valley around Giza, and acquired a large stretch of Egypt's Western Desert, including Bahariya Oasis when the 6th of October Governorate was merged into it on 14 April 2011. The Giza Governorate is also home to the Great Sphinx and the Pyramids of Giza.",2023-02-24 18:29:09+02,TRUE,1,1
32,الجيزة,أحمد راشد مصطفى,"محافظة الجيزة هي إحدى محافظات مصر. يقع في وسط البلاد ، على الضفة الغربية لنهر النيل مقابل القاهرة. عاصمتها مدينة الجيزة. وهي تشمل امتدادًا من الضفة اليسرى لوادي النيل حول الجيزة ، واستحوذت على امتداد كبير من الصحراء الغربية لمصر ، بما في ذلك الواحات البحرية عندما تم دمج محافظة 6 أكتوبر فيها في 14 أبريل 2011. محافظة الجيزة هي أيضًا موطن لـ أبو الهول وأهرامات الجيزة.",2023-02-24 18:33:20+02,TRUE,1,2
33,المنيا,عصام البدوي,"محافظة المنيا هي إحدى محافظات صعيد مصر. تقع عاصمتها المنيا على الضفة اليسرى لنهر النيل.
اشتق الاسم من المدينة الرئيسية للمحافظة ، والمعروفة أصلاً باللغة القبطية الساحلية باسم طمون ، وفي البحيرية باسم ثموني ، أي ""السكن"" ، في إشارة إلى دير كان في المنطقة سابقًا. قد يأتي الاسم أيضًا من اسم المدينة في المصري منة خوفو.",2023-02-24 18:34:15+02,TRUE,17,2
34,Minya,Essam El Badawy,"Minya Governorate is one of the governorates of Upper Egypt. Its capital city, Minya, is located on the left bank of the Nile River.The name originates from the chief city of the governorate, originally known in Sahidic Coptic as Tmoone and in Bohairic as Thmone, meaning (the residence), in reference to a monastery formerly in the area. The name may also originate from the city's name in Egyptian Men'at Khufu.",2023-02-24 18:36:56+02,TRUE,17,1
35,Beni Suef,Hani Abdul-Jaber Mohammed Ibrahim,"Beni Suef is one of the governorates of Egypt. It is situated in the center of the country.
This governorate's capital is the city of Beni Suef, located about 120 km south of Cairo on the west bank of the Nile River. The area is well known in Egypt for its cement factories. The nearby Meidum pyramid is the only prominent tourist attraction in the area.

Due to different ways of transcribing the spelling it can also be known as Beni Suef, or Beni Swaif.",2023-02-24 18:45:49+02,TRUE,18,1
36,بنى سويف,هاني عبدالجابر محمد إبراهيم,"بني سويف هي احدى محافظات مصر. تقع في وسط البلاد.
عاصمة هذه المحافظة هي مدينة بني سويف ، وتقع على بعد 120 كم جنوب القاهرة على الضفة الغربية لنهر النيل. المنطقة معروفة في مصر بمصانع الأسمنت. يعد هرم ميدوم القريب من المعالم السياحية البارزة الوحيدة في المنطقة.

نظرًا لاختلاف طرق نسخ الهجاء ، يمكن أيضًا أن تُعرف باسم بني سويف أو بني سويف.",2023-02-24 19:26:16+02,TRUE,18,2
37,Kafr El-Shekh,Gamal Nour El-Dein mohamed Zaki,"Kafr El Sheikh Governorate is one of the governorates of Egypt. It lies in the northern part of the country, along the western branch of the Nile in the Nile Delta. Its capital is the city of Kafr El Sheikh.

Kafr El Sheikh is the first nationwide in the cultivation of long-staple cotton for export.

Kafr El Sheikh Governorate, which was once part of the Gharbia Governorate, was created in 1949. It was originally named Fuadiyah in honor of King Fuad I of Egypt. After the 1952 Revolution and the subsequent abolition of the monarchy, the governorate took the name of its capital city Kafr El Sheikh. This name, adopted in 1955, means ""the village of the chief"".

The area occupied today by the Kafr El Sheikh Governorate encompasses the ancient region of Bashmur and has been inhabited since ancient times and so it has a noteworthy number of archaeological sites, at Tell Metoubes, Fuwwah, Desouk, Tell Qabrit, and other settlements around Lake Burrulus. The capital of Lower Egypt, called ""Buto"", is located at present-day Tell El Faraain (the Hill of the Pharaohs), near Desouk.",2023-02-24 19:27:20+02,TRUE,19,1
38,كفر الشيخ,جمال نور الدين محمد زكي,"محافظة كفر الشيخ هي إحدى محافظات مصر. تقع في الجزء الشمالي من البلاد ، على طول الفرع الغربي لنهر النيل في دلتا النيل. عاصمتها مدينة كفر الشيخ.

كفر الشيخ هي الأولى على مستوى الجمهورية في زراعة القطن طويل التيلة للتصدير.

تم إنشاء محافظة كفر الشيخ ، التي كانت جزءًا من محافظة الغربية ، في عام 1949. وكانت تسمى في الأصل فؤادية على شرف الملك فؤاد الأول ملك مصر. بعد ثورة 1952 وما تلاها من إلغاء للنظام الملكي ، أخذت المحافظة اسم عاصمتها كفر الشيخ. هذا الاسم ، الذي تم اعتماده في عام 1955 ، يعني ""قرية الزعيم"".

تشمل المنطقة التي تحتلها محافظة كفر الشيخ اليوم منطقة بشمور القديمة ، وهي مأهولة بالسكان منذ العصور القديمة ولذا فهي تضم عددًا ملحوظًا من المواقع الأثرية ، في تل مطوبس ، فوة ، دسوق ، تل قبريت ، ومستوطنات أخرى حول البحيرة. بورولوس. تقع عاصمة الوجه البحري ، المسماة ""بوتو"" ، في تل الفرعين (تل الفراعنة) بالقرب من دسوق.",2023-02-24 19:30:27+02,TRUE,19,2
39,Aswan,Ahmed Ibrahim Mohamed Ibrahim,"Aswan Governorate is one of the governorates of Egypt. The southernmost governorate in Upper Egypt, covering most of Lake Nasser. The Governorate's capital is Aswan.The Aswan Governorate borders Qena Governorate to the north, Red Sea Governorate to the east, New Valley Governorate to the west, and Sudan's Northern state to the south. It has a population of 1,394,687 inhabitants (2014), and occupies an area of 62,726 km².",2023-02-24 19:35:55+02,TRUE,20,1
40,أسوان,أحمد إبراهيم محمد إبراهيم,"محافظة أسوان هي إحدى محافظات مصر. المحافظة الواقعة فى أقصى الجنوب فى صعيد مصر وتغطى معظم بحيرة ناصر. عاصمة المحافظة أسوان.

وتحد محافظة أسوان من الشمال محافظة قنا ومن الشرق محافظة البحر الأحمر ومن الغرب محافظة الوادي الجديد ومن الجنوب ولاية السودان الشمالية. يبلغ عدد سكانها 1,394,687 نسمة (2014) ، وتحتل مساحة قدرها 62,726 كيلومتر مربع.",2023-02-24 19:37:36+02,TRUE,20,2
41,Asyut,Jamal Nour El Din Mohamed Zaki,"Asyut Governorate is one of the many governorates of Egypt. It stretches across a section of the Nile River. The capital of the governorate is the city of Asyut.The name of Asyut is derived from early Egyptian Zawty (Z3JW.TJ), late Egyptian Sayawt into Coptic Syowt. An A was added to the beginning of the name Syowt to become Asyut.",2023-02-24 19:40:32+02,TRUE,21,1
42,أسيوط,جمال نور الدين محمد زكي,"محافظة أسيوط هي إحدى محافظات مصر العديدة. تمتد عبر جزء من نهر النيل. عاصمة المحافظة مدينة أسيوط.
اسم أسيوط مشتق من الزوتي المصري القديم (Z3JW.TJ) ، المصري الراحل Sayawt إلى Coptic Syowt. تمت إضافة حرف A إلى بداية اسم Syowt لتصبح أسيوط.",2023-02-24 19:45:32+02,TRUE,21,2
43,New Valley,Mohammed Salman Mousa Al-Zamlout,"New Valley Governorate or El Wadi El Gedid Governorate is one of the governorates of Egypt. It is in the southwestern part of the country, in the south of Egypt Western Desert (part of the Sahara Desert), between the Nile, northern Sudan, and southeastern Libya.

Consisting of roughly half of Egypt's area, this spacious governorate is the country's largest and most sparsely populated, and one of the biggest subnational divisions on the African continent, as well as the world. At 440,098 square kilometers in area, New Valley Governorate is just slightly larger than the country of Iraq. The capital is at the Kharga Oasis. New Valley Governate is named after the New Valley Project, which aims to irrigate parts of the Western Desert.",2023-02-24 19:46:44+02,TRUE,22,1
44,الوادى الجديد,محمد سلمان موسى الزملوط,"محافظة الوادي الجديد هي إحدى محافظات مصر. تقع في الجزء الجنوبي الغربي من البلاد ، في جنوب الصحراء الغربية لمصر (جزء من الصحراء الكبرى) ، بين النيل وشمال السودان وجنوب شرق ليبيا.

تتكون هذه المحافظة الواسعة من نصف مساحة مصر تقريبًا ، وهي الأكبر والأكثر كثافة سكانية في البلاد ، وواحدة من أكبر الأقسام دون الوطنية في القارة الأفريقية ، وكذلك في العالم. تبلغ مساحة محافظة الوادي الجديد 440,098 كيلومتر مربع ، وهي أكبر قليلاً من دولة العراق. تقع العاصمة في واحة الخارجة. تمت تسمية محافظة الوادي الجديد على اسم مشروع الوادي الجديد الذي يهدف إلى ري أجزاء من الصحراء الغربية.",2023-02-24 19:48:58+02,TRUE,22,2
45,قنا,أشرف غريب الدودي,"محافظة قنا هي إحدى محافظات مصر. تقع في الجزء الجنوبي من البلاد ، وهي تغطي امتداد وادي النيل. عاصمتها مدينة قنا.
تنقسم المحافظة إلى تقسيمات بلدية ويقدر إجمالي عدد سكانها اعتبارًا من يوليو 2017 بنحو 3,181,688 نسمة. في حالة محافظة قنا يوجد قسم واحد وعدد من مراكش ومدينة واحدة جديدة. أحيانًا يتشارك المركز والقياس في الاسم.",2023-02-24 19:49:49+02,TRUE,23,2
46,Qena,Ashraf Gharib El Daoudi,"Qena Governorate is one of the governorates of Egypt. Located in the southern part of the country, it covers a stretch of the Nile valley. Its capital is the city of Qena.
The governorate is divided into municipal divisions with a total estimated population as of July 2017 of 3,181,688. In the case of Qena governorate, there is one kism, a number of marakiz and 1 new city. Sometimes a markaz and a kism share a name.",2023-02-24 19:51:46+02,TRUE,23,1
47,Suhag,Ahmed Abdullah Al Ansari,"Sohag Governorate is one of the governorates of Egypt. It is located in the southern part of the country (Upper Egypt), and covers a stretch of the Nile Valley. Since 1960, its capital has been the city of Sohag. Prior to that, the capital was the city of Girga and the name of the governorate was Girga Governorate.
In April 2019, the archaeological mission of the Ministry of Antiquities led by Mostafa Waziri uncovered a tomb of a nobleman called Toutou and his wife at Al-Dayabat archaeological site dating back to the Ptolemaic era. The tomb contained two tiny rooms with two limestone sarcophagi. Besides, well preserved mummy, mummified animals and birds including falcons, eagles, cats, dogs and shrews were also revealed in the tomb.",2023-02-24 19:52:34+02,TRUE,24,1
48,سوهاج,أحمد عبدلله الأنصاري,"محافظة سوهاج هي إحدى محافظات مصر. تقع في الجزء الجنوبي من البلاد (صعيد مصر) ، وتغطي امتداد وادي النيل. منذ عام 1960 ، كانت عاصمتها مدينة سوهاج. وقبل ذلك كانت عاصمتها مدينة جرجا وكان اسم المحافظة محافظة جرجا.
في أبريل 2019 ، كشفت البعثة الأثرية لوزارة الآثار بقيادة مصطفى وزيري عن مقبرة لأحد النبلاء يُدعى توتو وزوجته في موقع الديابات الأثري الذي يعود تاريخه إلى العصر البطلمي. احتوت المقبرة على غرفتين صغيرتين بهما تابوتان من الحجر الجيري. إلى جانب ذلك ، تم الكشف عن مومياء محفوظة جيدًا وحيوانات وطيور محنطة بما في ذلك الصقور والنسور والقطط والكلاب والزبابة في المقبرة.",2023-02-24 19:56:06+02,TRUE,24,2
49,البحر الأحمر,أحمد عبدلله محمد عبدلله,"محافظة البحر الأحمر هي إحدى محافظات مصر البالغ عددها 27 محافظة. تقع بين النيل والبحر الأحمر في جنوب شرق البلاد ، وتشكل حدودها الجنوبية جزءًا من حدود مصر مع السودان. عاصمتها وأكبر مدنها هي الغردقة.
يحدها من الشمال محافظة السويس ، ومن الشرق البحر الأحمر ، ومن الغرب محافظات أسوان وقنا وسوهاج وأسيوط والمنيا وبني سويف. تحدها من الجنوب ولاية البحر الأحمر السودانية. تحتوي على الأراضي المتنازع عليها في مثلث حلايب ، بما في ذلك جزر سيال.",2023-02-24 19:57:25+02,TRUE,25,2
50,Red Sea,Ahmed Abdullah Mohammed Abdullah,"Red Sea Governorate is one of the 27 governorates (States) of Egypt. Located between the Nile and the Red Sea in the southeast of the country, its southern border forms part of Egypt's border with Sudan. Its capital and largest city is Hurghada.
The Red Sea Governorate is bordered on the north by the Suez Governorate, to the east by the Red Sea, and to the west by the governorates of Aswan, Qena, Sohag, Asyut, al-Minya and Beni Suef. In the south it is bordered by Sudan's Red Sea State. It contains the disputed territory of the Halaib Triangle, including the Siyal Islands.",2023-02-24 19:59:46+02,TRUE,25,1
51,South Sinai,Khaled Fouda Saddiq Mohammed,"South Sinai Governorate is the least populated governorate of Egypt. It is located in the east of the country, encompassing the southern half of the Sinai Peninsula. Saint Catherine's Monastery, an Eastern Orthodox Church monastery and UNESCO World Heritage Site of world renown, is located in the central part of the governorate.
The governorate is an attractive destination for tourism due to its amazing and fascinating nature scenes, however it has several terrorist attacks. In 1985, a mass murder occurred in the Ras Burqa resort and killed 8 people (7 Israeli tourists and 1 Egyptian policeman). The 2004 Sinai bombings that targeted tourist hotels in and around Nuweiba killed 34 people and wounded over 170. In 2005, Sharm El Sheikh was hit by a terrorist attack. 88 people were killed, the majority of them Egyptians, and over 200 were wounded, at that time making it the deadliest terrorist action in the country's history (exceeding the Luxor massacre of 1997, which killed 62 people).2006 saw the Dahab bombings, which killed 23 people and wounded 80.

The Sinai insurgency, although happening mainly in the neighboring North Sinai Governorate, has occasionally spilled over to South Sinai. In February 2014, a tourist bus was attacked in Taba. The perpetrators killed the Egyptian bus driver and three South Korean tourists.

After 2014, The Egyptian government and the Egyptian army took firm actions to eliminate terrorism, and now the city is quite safe.",2023-02-24 20:01:23+02,TRUE,26,1
52,"جنوب سيناء",خالد فودا صادق محمد,"محافظة جنوب سيناء هي أقل محافظات مصر كثافة سكانية. تقع في شرق البلاد ، وتشمل النصف الجنوبي من شبه جزيرة سيناء. يقع دير سانت كاترين ، وهو دير للكنيسة الأرثوذكسية الشرقية وموقع للتراث العالمي لليونسكو ذا شهرة عالمية ، في الجزء الأوسط من المحافظة.
تعتبر المحافظة وجهة جذابة للسياحة لما تتمتع به من مناظر طبيعية خلابة ورائعة إلا أنها تشهد العديد من الهجمات الإرهابية. في عام 1985 ، وقعت جريمة قتل جماعي في منتجع رأس برقة وأسفرت عن مقتل 8 أشخاص (7 سياح إسرائيليين وشرطي مصري واحد). أدت تفجيرات سيناء عام 2004 التي استهدفت الفنادق السياحية في نويبع ومحيطها إلى مقتل 34 شخصًا وإصابة أكثر من 170. في عام 2005 ، تعرضت شرم الشيخ لهجوم إرهابي. قُتل 88 شخصًا ، غالبيتهم من المصريين ، وجُرح أكثر من 200 شخص ، مما جعله في ذلك الوقت أعنف عمل إرهابي في تاريخ البلاد (متجاوزًا مذبحة الأقصر عام 1997 التي راح ضحيتها 62 شخصًا). وشهد عام 2006 تفجيرات دهب التي أسفرت عن مقتل 23 شخصًا وإصابة 80 آخرين.

على الرغم من أن تمرد سيناء يحدث بشكل رئيسي في محافظة شمال سيناء المجاورة ، فقد امتد أحيانًا إلى جنوب سيناء. في فبراير 2014 ، تعرضت حافلة سياحية في طابا لهجوم. وقتل الجناة سائق الحافلة المصري وثلاثة سياح كوريين جنوبيين.

بعد عام 2014 ، اتخذت الحكومة المصرية والجيش المصري إجراءات حازمة للقضاء على الإرهاب ، والآن أصبحت المدينة آمنة تمامًا.",2023-02-24 20:05:11+02,TRUE,26,2
53,North Sinai,Mohamed Abdel-Fadil Shousha,"North Sinai Governorate  is one of the governorates of Egypt. It is located in the north-eastern part of the country, and encompasses the northern half of the Sinai Peninsula. It is bordered in the north by the Mediterranean Sea, in the south by South Sinai Governorate, in the west by Port Said, Ismailia, and Suez Governorates and in the east by the Gaza Strip in Palestine (Rafah Governorate) and Israel (Southern District). Its capital is the city of El Arish. A governorate is administered by a governor, who is appointed by the President of Egypt and serves at the president's discretion.

The population of the North Sinai Governorate as at 2015 was 434,781 people, comprising predominantly Bedouin tribesmen. The Governorate covers an area of 27,574 square kilometers. The population density is 15 inhabitants per square kilometer.

A significant economic activity of the Bedouin tribes has been smuggling. They have been active smuggling into the Gaza Strip supplies and weapons using cross-border tunnels as well as assisting illegal migrants into Israel. These activities have been curtailed by the Egyptian government crackdown of smuggling into the Gaza Strip and by the building of the Egypt–Israel barrier.

North Sinai has since 2011 been especially affected by the Sinai insurgency and measures by government forces to combat it which has resulted in many casualties. On October 14, 2016 twelve Egyptian troops were killed at a checkpoint near El Arish.On November 27, 2017 a mosque in the village of Al-Rawda was attacked by roughly 40 gunmen, killing at least 305 and injuring up to 128 others, making it the deadliest terror attack in Egyptian history.",2023-02-24 20:11:28+02,TRUE,27,1
54,"شمال سيناء",محمد عبدالفضيل شوشة,"محافظة شمال سيناء هي إحدى محافظات مصر. تقع في الجزء الشمالي الشرقي من البلاد ، وتشمل النصف الشمالي من شبه جزيرة سيناء. يحدها من الشمال البحر الأبيض المتوسط ، ومن الجنوب محافظة جنوب سيناء ، ومن الغرب محافظات بورسعيد والإسماعيلية والسويس ، ومن الشرق قطاع غزة في فلسطين (محافظة رفح) وإسرائيل (المنطقة الجنوبية). عاصمتها مدينة العريش. تتم إدارة المحافظة من قبل المحافظ الذي يعينه رئيس مصر ويعمل وفقًا لتقدير الرئيس .بلغ عدد سكان محافظة شمال سيناء في عام 2015 حوالي 434.781 نسمة ، يتألفون في الغالب من رجال القبائل البدوية. تبلغ مساحة المحافظة 27.574 كيلومتر مربع. الكثافة السكانية 15 نسمة لكل كيلومتر مربع .كان التهريب نشاطًا اقتصاديًا مهمًا للقبائل البدوية. لقد نشطوا في تهريب الإمدادات والأسلحة إلى قطاع غزة باستخدام الأنفاق العابرة للحدود وكذلك مساعدة المهاجرين غير الشرعيين إلى إسرائيل. وقد تم تقليص هذه الأنشطة بسبب حملة الحكومة المصرية على التهريب إلى قطاع غزة وبناء الجدار الفاصل بين مصر وإسرائيل .تأثر شمال سيناء منذ 2011 بشكل خاص بتمرد سيناء والتدابير التي اتخذتها القوات الحكومية لمكافحته ، مما أدى إلى سقوط العديد من الضحايا. في 14 أكتوبر / تشرين الأول 2016 ، قُتل اثنا عشر جنديًا مصريًا عند نقطة تفتيش قرب العريش ، وفي 27 نوفمبر / تشرين الثاني 2017 ، تعرض مسجد في قرية الروضة لهجوم من قبل ما يقرب من 40 مسلحًا ، مما أدى إلى مقتل 305 على الأقل وإصابة ما يصل إلى 128 آخرين. إنه أعنف هجوم إرهابي في تاريخ مصر.",2023-02-24 20:18:16+02,TRUE,27,2
55,Luxor,Mustafa Mohamed Alhem Khaled,"Luxor Governorate has been one of Egypt's governorates since 7 December 2009, when former president Hosni Mubarak announced its separation from the Qena Governorate.It is located 635 km south of Cairo. It lies in Upper Egypt along the Nile. The city of Luxor is the capital of the Luxor governorate.
The emblem of Luxor represents the bust of Tutankhamun on board of an Ancient Egyptian canoe boat, cruising in the Nile, with an obelisk and the sun light in the background.",2023-02-24 20:28:20+02,TRUE,28,1
56,الأقصر,مصطفى محمد ألهم خالد,"محافظة الأقصر هي إحدى محافظات مصر منذ 7 ديسمبر 2009 ، عندما أعلن الرئيس الأسبق حسني مبارك انفصالها عن محافظة قنا ، وتقع على بعد 635 كم جنوب القاهرة. تقع في صعيد مصر على طول نهر النيل. مدينة الأقصر هي عاصمة محافظة الأقصر.
يمثل شعار الأقصر تمثال نصفي لتوت عنخ آمون على متن زورق كانو مصري قديم ، يبحر في النيل ، مع مسلة وضوء الشمس في الخلفية.",2023-02-24 20:33:02+02,TRUE,28,2
